'Country', 'Code', 'Latitude', 'Area', '2018 Gold', '2018 Silver', '2018 Bronze', '2016 Gold', '2016 Silver', '2016 Bronze', '2014 Gold', '2014 Silver', '2014 Bronze', '2012 Gold', '2012 Silver', '2012 Bronze', '2010 Gold', '2010 Silver', '2010 Bronze', '2008 Gold', '2008 Silver', '2008 Bronze', '2006 Gold', '2006 Silver', '2006 Bronze', '2004 Gold', '2004 Silver', '2004 Bronze', '2002 Gold', '2002 Silver', '2002 Bronze', '2000 Gold', '2000 Silver', '2000 Bronze', '1998 Gold', '1998 Silver', '1998 Bronze', '1996 Gold', '1996 Silver', '1996 Bronze', '1994 Gold', '1994 Silver', '1994 Bronze', '1992W Gold', '1992W Silver', '1992W Bronze', '1992 Gold', '1992 Silver', '1992 Bronze', '1988W Gold', '1988W Silver', '1988W Bronze', '1988 Gold', '1988 Silver', '1988 Bronze', '1984W Gold', '1984W Silver', '1984W Bronze', '1984 Gold', '1984 Silver', '1984 Bronze', '1980W Gold', '1980W Silver', '1980W Bronze', '1980 Gold', '1980 Silver', '1980 Bronze', '1976W Gold', '1976W Silver', '1976W Bronze', '1976 Gold', '1976 Silver', '1976 Bronze', '1972W Gold', '1972W Silver', '1972W Bronze', '1972 Gold', '1972 Silver', '1972 Bronze', '1968W Gold', '1968W Silver', '1968W Bronze', '1968 Gold', '1968 Silver', '1968 Bronze', '1964W Gold', '1964W Silver', '1964W Bronze', '1964 Gold', '1964 Silver', '1964 Bronze', '1960W Gold', '1960W Silver', '1960W Bronze', '1960 Gold', '1960 Silver', '1960 Bronze', '1956W Gold', '1956W Silver', '1956W Bronze', '1956 Gold', '1956 Silver', '1956 Bronze', '1952W Gold', '1952W Silver', '1952W Bronze', '1952 Gold', '1952 Silver', '1952 Bronze', '1948W Gold', '1948W Silver', '1948W Bronze', '1948 Gold', '1948 Silver', '1948 Bronze', '1936W Gold', '1936W Silver', '1936W Bronze', '1936 Gold', '1936 Silver', '1936 Bronze', '1932W Gold', '1932W Silver', '1932W Bronze', '1932 Gold', '1932 Silver', '1932 Bronze', '1928W Gold', '1928W Silver', '1928W Bronze', '1928 Gold', '1928 Silver', '1928 Bronze', '1924W Gold', '1924W Silver', '1924W Bronze', '1924 Gold', '1924 Silver', '1924 Bronze', '1920 Gold', '1920 Silver', '1920 Bronze', '1912 Gold', '1912 Silver', '1912 Bronze', '1908 Gold', '1908 Silver', '1908 Bronze', '1904 Gold', '1904 Silver', '1904 Bronze', '1900 Gold', '1900 Silver', '1900 Bronze', '1896 Gold', '1896 Silver', '1896 Bronze', 'Gold', 'Silver', 'Bronze', 'Gold', 'Silver', 'Bronze', 'Gold', 'Silver', 'Bronze'
'Finland', 'FIN', '60.15', '337030', '1', '1', '4', '0', '0', '1', '1', '3', '1', '0', '1', '2', '0', '1', '4', '1', '1', '2', '0', '6', '3', '0', '2', '0', '4', '2', '1', '2', '1', '1', '2', '4', '6', '1', '2', '1', '0', '1', '5', '3', '1', '3', '1', '2', '2', '4', '1', '2', '1', '1', '2', '4', '3', '6', '4', '2', '6', '1', '5', '3', '3', '1', '4', '2', '4', '1', '4', '2', '0', '0', '4', '1', '3', '1', '4', '1', '2', '2', '1', '2', '1', '3', '4', '3', '3', '0', '2', '2', '3', '3', '1', '1', '3', '3', '3', '1', '3', '1', '11', '3', '4', '2', '6', '3', '13', '1', '3', '2', '8', '7', '5', '1', '2', '3', '7', '6', '6', '1', '1', '1', '5', '8', '12', '2', '1', '1', '8', '8', '9', '4', '4', '3', '14', '13', '10', '15', '10', '9', '9', '8', '9', '1', '1', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '101', '84', '118', '43', '63', '61', '144', '147', '179'
'Great Britain', 'GBR', '51.36', '209331', '1', '0', '4', '27', '23', '17', '1', '1', '2', '29', '17', '19', '1', '0', '0', '19', '13', '15', '0', '1', '0', '9', '9', '13', '1', '0', '1', '11', '10', '7', '0', '0', '1', '1', '8', '6', '0', '0', '2', '0', '0', '0', '5', '3', '12', '0', '0', '0', '5', '10', '9', '1', '0', '0', '5', '11', '21', '1', '0', '0', '5', '7', '9', '1', '0', '0', '3', '5', '5', '0', '0', '0', '4', '5', '9', '0', '0', '0', '5', '5', '3', '1', '0', '0', '4', '12', '2', '0', '0', '0', '2', '6', '12', '0', '0', '0', '6', '7', '11', '1', '0', '0', '1', '2', '8', '0', '0', '2', '3', '14', '6', '0', '0', '0', '4', '7', '3', '0', '0', '0', '4', '7', '5', '0', '0', '1', '3', '10', '7', '1', '1', '2', '9', '13', '12', '15', '15', '13', '10', '15', '16', '56', '51', '39', '1', '1', '0', '15', '6', '9', '2', '3', '2', '263', '295', '290', '10', '3', '15', '273', '298', '305'
'South Korea', 'KOR', '37.31', '98480', '5', '8', '4', '9', '3', '9', '3', '3', '2', '13', '8', '7', '6', '6', '2', '13', '10', '8', '6', '3', '2', '9', '12', '9', '2', '2', '0', '8', '10', '10', '3', '1', '2', '7', '15', '5', '4', '1', '1', '2', '1', '1', '12', '5', '12', '0', '0', '0', '12', '10', '11', '0', '0', '0', '6', '6', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '4', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '2', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '90', '85', '89', '31', '25', '14', '121', '110', '103'
'Switzerland', 'SUI', '46.57', '41210', '5', '6', '4', '3', '2', '2', '6', '3', '2', '2', '2', '0', '6', '0', '3', '2', '0', '4', '5', '4', '5', '1', '1', '3', '3', '2', '6', '1', '6', '2', '2', '2', '3', '4', '3', '0', '3', '4', '2', '1', '0', '2', '1', '0', '0', '5', '5', '5', '0', '2', '2', '2', '2', '1', '0', '4', '4', '1', '1', '3', '2', '0', '0', '1', '3', '1', '1', '1', '2', '4', '3', '3', '0', '3', '0', '0', '2', '4', '0', '1', '4', '0', '0', '0', '1', '2', '1', '2', '0', '0', '0', '3', '3', '3', '2', '1', '0', '0', '1', '0', '0', '2', '2', '6', '6', '3', '4', '3', '5', '10', '5', '1', '2', '0', '1', '9', '5', '0', '1', '0', '0', '1', '0', '0', '0', '1', '7', '4', '4', '2', '0', '1', '7', '8', '10', '2', '2', '7', '0', '0', '0', '0', '0', '0', '1', '0', '1', '6', '2', '1', '1', '2', '0', '50', '74', '67', '55', '46', '52', '105', '120', '119'
'Czech Republic', 'CZE', '50.05', '78867', '2', '2', '3', '1', '2', '7', '2', '4', '2', '4', '3', '3', '2', '0', '4', '3', '3', '0', '1', '2', '1', '1', '3', '4', '1', '2', '0', '2', '3', '3', '1', '1', '1', '4', '3', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15', '17', '21', '9', '11', '11', '24', '28', '32'
'Spain', 'ESP', '40.25', '504781', '0', '0', '2', '7', '4', '6', '0', '0', '0', '3', '10', '4', '0', '0', '0', '5', '10', '3', '0', '0', '0', '3', '11', '5', '0', '0', '0', '3', '3', '5', '0', '0', '0', '5', '6', '6', '0', '0', '0', '0', '0', '1', '13', '7', '2', '0', '0', '0', '1', '1', '2', '0', '0', '0', '1', '2', '2', '0', '0', '0', '1', '3', '2', '0', '0', '0', '0', '2', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '44', '63', '40', '1', '0', '3', '45', '63', '43'
'China', 'CHN', '39.55', '9640821', '1', '6', '2', '26', '18', '26', '3', '4', '2', '38', '27', '23', '5', '2', '4', '51', '21', '28', '2', '4', '5', '32', '17', '14', '2', '2', '4', '28', '16', '14', '0', '6', '2', '16', '22', '12', '0', '1', '2', '0', '3', '0', '16', '22', '16', '0', '0', '0', '5', '11', '12', '0', '0', '0', '15', '8', '9', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '227', '162', '154', '13', '28', '21', '240', '190', '175'
'New Zealand', 'NZL', '41.19', '269190', '0', '0', '2', '4', '9', '5', '0', '0', '0', '6', '2', '5', '0', '0', '0', '3', '1', '5', '0', '0', '0', '3', '2', '0', '0', '0', '0', '1', '0', '3', '0', '0', '0', '3', '2', '1', '0', '0', '0', '0', '1', '0', '1', '4', '5', '0', '0', '0', '3', '2', '8', '0', '0', '0', '8', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '1', '1', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '2', '0', '0', '0', '3', '0', '2', '0', '0', '0', '2', '0', '1', '0', '0', '0', '2', '0', '0', '0', '0', '0', '1', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '46', '26', '45', '0', '1', '2', '46', '27', '47'
'Australia', 'AUS', '35.15', '7692024', '0', '2', '1', '8', '11', '10', '0', '2', '1', '7', '16', '12', '2', '1', '0', '14', '15', '17', '1', '0', '1', '17', '16', '16', '2', '0', '0', '16', '25', '17', '0', '0', '1', '9', '9', '23', '0', '0', '1', '0', '0', '0', '7', '9', '11', '0', '0', '0', '3', '6', '5', '0', '0', '0', '4', '8', '12', '0', '0', '0', '2', '2', '5', '0', '0', '0', '0', '1', '4', '0', '0', '0', '8', '7', '2', '0', '0', '0', '5', '7', '5', '0', '0', '0', '6', '2', '10', '0', '0', '0', '8', '8', '6', '0', '0', '0', '13', '8', '14', '0', '0', '0', '6', '2', '3', '0', '0', '0', '2', '6', '5', '0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '1', '1', '0', '0', '0', '1', '2', '1', '0', '0', '0', '3', '1', '2', '0', '2', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '3', '2', '0', '0', '146', '164', '186', '5', '5', '5', '151', '169', '191'
'Kazakhstan', 'KAZ', '51.10', '2724900', '0', '0', '1', '3', '5', '9', '0', '0', '1', '7', '1', '5', '0', '1', '0', '2', '4', '7', '0', '0', '0', '1', '4', '3', '0', '0', '0', '3', '4', '0', '0', '0', '2', '3', '4', '4', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '19', '22', '28', '1', '3', '4', '20', '25', '32'
